"","Column1","Column2","Column3","Column4","Column5","predictKNN"
"258",-2,0,4,2,-1,-1
"259",0,4,-2,2,-4,-4
"260",-5,1,0,3,-1,-1
"261",4,0,2,2,2,2
"262",2,1,1,2,1,1
"263",0,-1,-1,2,0,0
"264",-4,-1,4,1,-8,-7
"265",1,1,-2,3,0,0
"266",3,0,2,1,3,3
"267",5,1,3,2,4,4
"268",3,-4,2,2,-2,-2
"269",-5,4,2,3,1,1
"270",-5,2,1,2,-1,-1
"271",4,0,1,1,4,4
"272",-1,3,2,3,1,1
"273",5,3,3,3,4,4
"274",-3,2,3,3,1,0
"275",-1,5,3,3,4,4
"276",-4,-3,-2,1,2,1
"277",2,1,3,1,5,5
"278",-3,-1,4,2,-3,-3
"279",5,-5,-3,1,20,19
"280",1,-4,-2,1,9,9
"281",-5,4,-2,3,-4,-4
"282",-1,1,4,1,3,2
"283",-2,-1,-2,3,0,0
"284",-1,4,2,3,2,2
"285",4,-4,-1,2,4,4
"286",4,-2,-3,1,10,9
"287",5,4,0,2,2,2
"288",4,3,0,2,2,2
"289",3,5,4,3,7,7
"290",2,5,0,3,0,0
"291",5,4,3,3,5,5
"292",-4,-3,0,3,-1,-1
"293",-5,-3,1,1,-8,-7
"294",3,-4,4,2,-6,-6
"296",-1,-3,2,1,-7,-7
"297",-5,-5,-1,1,0,0
"298",5,1,-2,3,1,1
"299",2,0,0,2,1,0
"300",-1,4,4,2,7,7
"301",2,4,4,3,6,6
"302",-2,0,1,3,0,0
"303",1,2,-2,2,-1,-1
"304",3,-5,0,2,1,1
"305",1,3,1,1,4,4
"306",1,-1,2,3,0,0
"307",3,4,2,2,5,5
"308",-2,-1,1,3,-1,-1
"309",1,2,-2,3,-1,0
"310",1,3,2,2,3,3
"311",4,5,0,1,4,4
"312",-3,-1,3,2,-3,-3
"313",2,4,-3,2,-5,-5
"314",-4,0,3,3,-1,-1
"315",-1,3,0,3,0,0
"316",4,-5,-1,3,3,3
"317",2,5,-1,2,-1,-1
"318",5,-3,0,3,1,1
"319",1,5,-1,3,-1,-1
"320",1,-2,2,3,-1,-1
"321",3,3,1,1,6,6
"322",-5,0,0,2,-2,-2
"323",4,-1,0,2,2,2
"324",-2,-4,1,3,-2,-2
"325",1,5,4,2,10,10
"326",-2,3,0,1,-2,-2
"327",-2,-2,-3,1,4,3
"328",-2,3,0,3,0,0
"329",-3,-1,-2,3,0,0
"330",4,1,-3,1,1,0
"331",-2,3,2,2,2,1
"332",-2,1,2,1,0,0
"333",-4,0,-3,2,-2,-2
"334",4,-2,0,1,4,3
"335",4,-1,2,3,0,0
"336",2,5,1,3,2,2
"337",-4,4,2,2,2,1
"338",-1,-4,4,3,-5,-5
"339",-1,3,0,2,0,0
"340",-3,-2,-1,2,0,0
"341",5,-1,3,3,0,0
"342",0,0,4,2,0,0
"343",5,3,4,3,5,5
"344",4,5,-3,2,-5,-5
"345",4,-3,3,1,-5,-5
"346",2,-1,0,2,1,1
"347",-4,-4,-2,2,2,2
"348",-2,-1,-1,2,0,0
"349",5,-5,3,2,-5,-5
"350",0,1,1,2,0,0
"351",-3,-4,-2,2,2,2
"352",5,5,4,1,25,25
"353",2,1,2,3,1,1
"354",-1,-1,-3,3,0,0
"355",2,-3,2,3,-1,-1
"356",2,-1,1,1,1,1
"357",5,4,2,3,4,4
"358",-5,1,4,2,0,0
"359",3,-2,-1,1,5,5
"360",0,4,-1,1,-4,-4
"361",-3,4,1,-50,1,1
"362",4,-5,0,3,1,1
"363",4,5,3,3,6,6
"364",2,-2,-3,3,2,2
"365",4,-1,1,1,3,3
"366",0,-3,4,3,-4,-4
"367",1,4,-1,3,-1,-1
"368",-4,3,2,1,2,1
"369",5,4,-3,3,-2,-2
"370",1,0,0,2,0,0
"371",0,-4,0,3,0,0
"372",-4,-5,4,3,-8,-8
"373",1,-4,3,2,-5,-5
"374",-4,-3,3,1,-13,-13
"376",-1,5,1,1,4,4
"377",3,4,2,1,11,11
"378",3,-3,1,1,0,0
"379",4,4,0,2,2,1
"380",0,5,-2,3,-3,-3
"381",1,-3,-3,1,10,10
"382",1,-3,1,1,-2,-2
"383",3,2,0,2,1,1
"384",2,-3,3,3,-2,-2
"385",3,3,3,2,6,5
"386",0,-3,-2,1,6,6
"387",0,3,2,3,2,2
"390",-3,4,-3,1,-15,-14
"391",-4,5,-3,3,-6,-6
"392",1,-1,3,3,0,0
"393",3,0,1,2,1,1
"394",5,-3,4,2,-3,-3
"395",1,-2,-1,1,3,3
"396",1,-4,0,2,0,0
"397",-2,3,-3,3,-3,-3
"398",-2,-4,-3,1,10,10
"399",-3,-5,4,1,-23,-22
"401",0,1,-1,1,-1,-1
"402",4,-3,0,2,2,2
"403",2,-1,3,2,0,0
"404",-1,-4,4,2,-8,-8
"405",5,-3,-1,2,4,4
"406",5,-2,3,2,0,0
"407",-1,2,-3,2,-3,-3
"408",1,5,1,3,2,2
"409",5,3,0,1,5,5
"410",-5,3,3,2,2,2
"411",2,-3,3,3,-2,-2
"412",-3,5,4,1,17,17
"413",-4,4,-2,3,-4,-4
"414",3,4,4,1,19,19
"415",-2,0,-1,1,-2,-2
"416",1,1,-2,3,0,0
"417",1,0,3,3,0,0
"418",0,-1,2,2,-1,-1
"419",3,-2,0,3,1,0
"420",-2,2,2,1,2,2
"421",-4,-1,2,1,-6,-6
"422",-5,5,0,2,-2,-2
"423",0,0,0,3,0,0
"425",5,5,2,2,7,7
"426",4,-2,0,2,2,2
"427",-2,-3,-3,2,3,3
"428",5,3,2,1,11,11
"429",-5,-4,1,2,-4,-3
"430",3,-2,-3,2,4,4
"431",-1,2,4,1,7,7
"432",3,-2,-3,3,3,3
"433",-5,3,0,3,-1,-1
"434",3,1,3,2,3,2
"435",4,2,2,2,4,4
"436",-3,4,1,1,1,1
"437",-1,-2,-3,3,1,1
"438",-2,3,-1,2,-2,-2
"439",-5,5,0,1,-5,-5
"440",5,0,2,2,2,2
"441",4,-5,2,2,-3,-3
"442",0,-3,4,2,-6,-5
"443",1,-3,0,2,0,0
"444",3,5,-1,1,-2,-2
"445",2,-1,0,1,2,2
"446",5,2,-2,2,0,0
"447",-4,1,4,1,0,0
"448",-5,-1,3,2,-4,-4
"449",1,-4,-1,2,2,2
"450",4,1,1,2,2,2
"451",-1,1,2,3,0,0
"452",-1,-4,3,1,-13,-13
"453",4,5,2,2,7,6
"454",-5,5,0,3,-1,-1
"455",-5,-3,0,2,-2,-2
"456",2,3,3,1,11,11
"457",-4,0,2,3,-1,-1
"458",1,4,4,1,17,17
"459",0,-4,3,1,-12,-12
"460",3,-3,3,3,-2,-2
"461",4,-5,3,2,-5,-5
"462",3,0,3,3,1,0
"463",2,-3,1,3,0,0
"464",4,0,1,2,2,1
"465",5,5,-3,1,-10,-10
"466",3,-2,1,2,0,0
"467",2,2,-1,3,0,0
"468",-1,1,2,2,0,0
"469",-5,0,-2,3,-1,-1
"470",-4,-1,2,1,-6,-6
"471",2,0,1,3,0,0
"472",1,-5,3,2,-7,-7
"473",3,5,-1,2,-1,-1
"474",-5,3,4,3,2,2
"475",3,-2,4,2,-2,-2
"476",2,1,-1,3,0,0
"477",1,-3,-2,3,2,2
"478",5,3,4,2,8,8
"479",-1,-4,-2,2,3,3
"480",3,-4,4,2,-6,-6
"481",-4,5,1,3,0,0
"482",4,-5,4,3,-5,-5
"483",1,1,3,1,4,4
"484",-2,2,-2,2,-3,-3
"485",1,1,4,3,1,1
"486",0,-4,-2,1,8,8
"487",4,2,1,2,3,3
"488",-1,0,2,2,0,0
"489",1,4,1,1,5,5
"490",1,-2,-2,2,2,2
"491",-1,-2,0,3,0,0
"492",-2,-1,3,1,-5,-5
"493",-4,5,-2,3,-4,-4
"494",-4,2,2,3,0,0
"495",-3,-5,-1,3,0,0
"496",1,5,3,1,16,16
"497",0,2,0,3,0,0
"498",3,-3,2,2,-1,-1
"499",1,3,0,3,0,0
"500",-3,-5,-2,3,2,2
"501",-2,5,2,1,8,7
"502",1,-3,0,1,1,1
"503",-2,1,-1,1,-3,-2
"504",2,5,3,1,17,17
"505",1,-4,-3,3,4,4
"506",1,3,0,2,0,0
"507",4,-1,0,3,1,1
"508",4,-2,-1,3,2,2
"509",4,-5,2,2,-3,-3
"510",2,2,0,1,2,2
"511",3,1,1,3,1,1
"513",-2,2,2,1,2,2
"514",2,5,4,1,22,23
"515",0,0,4,1,0,0
"516",4,3,-3,1,-5,-5
"517",0,5,1,3,1,1
"518",-3,2,-1,2,-2,-2
"519",-2,-4,4,1,-18,-17
"520",2,2,3,3,2,2
"521",3,-1,3,1,0,0
"522",0,1,-3,1,-3,-2
"523",-3,-3,3,2,-6,-5
"524",-4,-1,-1,1,-3,-2
"525",-3,-4,-2,3,1,1
"526",-3,2,1,3,0,0
"527",-5,-4,-1,2,0,0
"529",-2,-2,-2,3,0,0
"530",0,-1,1,2,0,0
"531",-3,1,3,1,0,0
"532",0,0,4,3,0,0
"533",5,-3,0,1,5,5
"535",-1,-3,1,2,-2,-2
"536",0,5,-2,1,-10,-10
"537",2,1,1,3,1,1
"538",-2,0,0,2,-1,-1
"539",-2,-1,4,1,-6,-6
"541",-2,0,1,3,0,0
"542",-2,5,1,3,1,0
"543",3,-3,2,2,-1,-1
"544",1,0,-1,2,0,0
"545",3,-5,2,2,-3,-3
"546",0,-2,2,2,-2,-2
"547",-5,2,2,3,0,0
"548",-4,0,-3,2,-2,-2
"549",2,-3,-2,1,8,8
"550",0,-3,2,2,-3,-3
"551",-5,-4,-1,1,-1,0
"552",-4,3,-2,1,-10,-11
"553",4,5,1,3,3,3
"554",-3,-4,-1,3,0,0
"555",0,-2,1,1,-2,-2
"556",-2,5,3,1,13,13
"557",-5,1,3,1,-2,-2
"558",-1,-4,-3,1,11,11
"559",4,2,-2,2,0,0
"560",-3,-2,-3,2,1,1
"561",-4,5,1,2,0,0
"562",-4,5,0,1,-4,-4
"563",2,-5,-1,3,2,2
"564",5,2,-3,2,0,0
"565",2,-3,1,3,0,0
"566",5,-4,2,2,-1,-1
"567",1,1,3,3,1,1
"568",-5,-2,3,2,-5,-5
"569",-2,-2,1,2,-2,-2
"570",4,-2,-2,2,4,4
"571",3,2,1,1,5,4
"572",-4,-1,-3,2,0,0
"573",4,4,-3,3,-2,-2
"574",-1,0,3,1,-1,0
"575",-4,0,3,1,-4,-4
"576",-2,1,-3,2,-2,-2
"577",-5,1,0,3,-1,-1
"578",3,1,2,3,1,1
"579",-5,2,2,3,0,0
"580",0,4,-3,2,-6,-6
"581",3,5,1,2,4,4
"582",0,-5,3,1,-15,-15
"583",-4,-1,1,1,-5,-5
"584",5,3,2,1,11,11
"585",-1,2,0,3,0,0
"586",-4,-4,4,3,-6,-6
"587",-1,-5,-2,1,9,9
"588",0,5,-1,2,-2,-2
"589",-3,2,-3,3,-3,-2
"590",-2,-5,2,1,-12,-12
"591",1,-4,-1,1,5,5
"592",-2,3,0,1,-2,-2
"593",5,-2,3,3,0,0
"594",2,-2,-2,3,2,2
"595",-5,3,-3,1,-14,-13
"596",5,3,-2,3,0,0
"597",1,2,4,1,9,9
"598",-5,1,-2,1,-7,-6
"599",1,4,-3,2,-5,-5
"600",-1,3,3,2,4,4
"601",1,-1,-1,1,2,2
"602",3,-1,4,2,0,0
"603",-5,-3,-3,3,1,1
"604",4,3,0,3,1,1
"605",-2,-4,-1,1,2,1
"606",2,5,3,2,8,8
"607",1,4,-1,3,-1,-1
"608",-5,0,0,3,-1,-1
"609",1,1,3,1,4,4
"610",2,-2,4,2,-3,-2
"611",-5,-2,3,2,-5,-5
"612",5,4,1,1,9,9
"613",-5,-3,1,2,-4,-4
"614",1,-2,0,2,0,0
"615",-2,-4,1,3,-2,-2
"616",5,4,-1,1,1,1
"617",-2,-3,3,2,-5,-5
"618",5,5,-3,2,-5,-5
"619",-1,-5,4,2,-10,-10
"620",4,-4,-2,1,12,12
"622",-3,-3,2,2,-4,-4
"623",2,3,2,3,2,2
"624",-1,3,3,2,4,4
"625",-2,-2,-3,1,4,3
"626",-5,-1,0,3,-1,-1
"627",-1,-3,-3,2,4,4
"629",-1,4,-3,1,-13,-13
"630",1,-1,-1,1,2,2
"631",3,-4,-3,2,7,7
"632",-1,4,4,3,5,4
"633",3,2,-3,1,-3,-3
"634",-4,-4,-2,1,4,5
"635",1,-1,0,1,1,1
"636",4,-3,-3,3,4,4
"637",-4,-3,-3,1,5,5
"638",-5,-2,0,1,-5,-5
"639",2,0,1,3,0,0
"640",1,3,2,2,3,3
"641",-4,1,-2,3,-2,-2
"642",5,4,-3,2,-3,-3
"643",2,1,3,1,5,5
"644",5,-1,3,2,1,1
"645",-3,-4,2,2,-5,-5
"646",1,-1,-2,1,3,3
"647",-1,-5,1,1,-6,-6
"648",0,5,-3,1,-15,-15
"649",5,3,4,2,8,8
"650",0,0,3,3,0,0
"651",-2,-4,0,1,-2,-2
"652",3,-2,3,3,-1,-1
"653",-3,-1,-1,2,-1,-1
"654",1,4,4,2,8,8
"655",-2,5,-1,1,-7,-7
"656",-2,5,1,2,1,1
"657",0,3,2,2,3,2
"658",2,0,1,3,0,0
"660",-1,1,-2,2,-1,-1
"661",0,2,-1,2,-1,-1
"662",1,2,4,1,9,9
"663",4,5,1,3,3,3
"664",-4,-3,-1,1,-1,-1
"665",0,1,2,2,1,1
"666",-2,2,-3,3,-2,-2
"667",-4,5,3,3,3,3
"668",-1,-3,2,2,-3,-3
"669",1,1,-2,2,0,0
"670",-4,0,-2,3,-1,-1
"671",-2,2,3,3,1,1
"672",2,2,4,2,5,5
"673",-3,-1,2,3,-1,-1
"674",0,-3,-3,2,4,4
"676",3,-3,0,2,1,1
"677",-4,-3,4,2,-8,-8
"678",-1,-4,-1,2,1,1
"681",0,-3,0,2,0,0
"682",-3,-1,1,2,-2,-1
"684",-2,1,-3,2,-2,-2
"685",-5,4,-2,1,-13,-12
"686",1,-3,3,2,-4,-4
"687",-2,-1,-1,1,-1,-1
"688",-1,4,2,3,2,2
"689",4,2,4,2,6,6
"690",-1,-1,-2,1,1,1
"691",2,2,-3,3,-1,-1
"692",1,0,3,2,0,0
"693",-4,0,4,3,-1,0
"695",-1,-4,-3,3,3,3
"696",5,0,0,1,5,4
"697",-1,-1,0,3,0,0
"698",2,-5,-2,2,6,6
"699",4,-5,1,3,0,0
"700",-3,0,3,2,-1,-1
"701",4,0,-2,2,2,1
"702",3,2,1,2,2,2
"703",0,-4,0,1,0,0
"704",-4,-1,-2,2,-1,0
"705",4,0,0,1,4,3
"706",1,3,4,2,6,6
"707",-4,-1,0,2,-2,-2
"708",4,4,0,1,4,4
"709",-3,-3,-2,2,1,1
"710",1,-2,2,1,-3,-2
"711",0,-3,3,2,-4,-4
"712",-5,4,3,1,7,7
"713",5,-2,0,3,1,1
"714",-2,4,4,1,14,14
"715",1,3,-1,2,-1,-1
"716",-1,4,-2,3,-3,-2
"717",5,-5,0,3,1,1
"718",-3,4,3,3,3,3
"719",-5,3,2,3,0,0
"720",-3,-3,1,1,-6,-6
"721",-1,-2,3,3,-2,-2
"722",4,2,3,2,5,4
"723",-5,-5,1,2,-5,-5
"724",5,5,-2,2,-2,-2
"725",5,4,-3,1,-7,-7
"726",-1,4,2,3,2,2
"727",-3,-5,-3,1,12,12
"728",5,-3,-3,1,14,14
"729",2,-5,-3,1,17,17
"730",2,-4,2,1,-6,-6
"731",-3,-3,2,1,-9,-9
"732",3,-3,4,3,-3,-3
"733",2,-3,-2,3,2,2
"734",0,3,1,3,1,1
"735",-1,1,0,1,-1,0
"736",-5,1,-1,1,-6,-6
"737",2,-5,1,1,-3,-3
"738",-2,-4,-3,1,10,10
"739",3,5,1,3,2,2
"740",3,5,0,3,1,1
"741",-4,1,3,2,0,0
"742",0,-1,2,1,-2,-2
"743",2,1,1,2,1,1
"744",3,0,3,2,1,1
"745",-3,-4,-1,2,0,0
"746",3,-4,1,2,0,0
"747",4,-5,-2,3,4,4
"748",3,1,1,3,1,1
"749",4,3,0,1,4,4
"750",-1,-4,3,3,-4,-4
"751",-2,0,0,3,0,0
"752",-4,-4,-1,3,0,0
"753",5,-2,1,2,1,1
"754",-1,2,-2,1,-5,-5
"755",-1,-2,1,3,-1,-1
"756",5,3,4,2,8,8
"757",4,2,-2,2,0,0
"758",-3,-2,-2,3,0,0
"759",1,-3,0,3,0,0
"760",2,4,-1,1,-2,-2
"761",5,-3,-3,1,14,14
"762",-2,-3,4,2,-7,-7
"763",-5,-1,3,3,-2,-2
"764",5,4,1,1,9,9
"765",1,2,0,1,1,1
"766",-4,-1,1,3,-1,-1
"767",1,5,0,2,0,0
"768",4,5,-1,1,-1,-1
"769",-1,-1,3,1,-4,-4
"770",0,4,2,2,4,4
"771",1,-3,4,3,-3,-3
"772",5,-3,-3,1,14,14
"774",0,-5,-1,2,2,2
"775",-2,3,-3,2,-5,-5
"777",5,1,1,1,6,5
"778",-5,-3,0,3,-1,-1
"779",-4,-4,-2,3,1,1
"780",5,2,1,2,3,3
"781",5,5,-3,2,-5,-5
"784",-4,5,4,3,5,5
"785",1,-3,3,1,-8,-8
"786",3,-3,-1,1,6,6
"787",-1,4,3,2,5,5
"788",5,-2,2,3,0,0
"789",4,5,0,3,1,1
"790",-3,-5,4,3,-7,-7
"791",-2,-3,4,2,-7,-7
"793",-2,0,2,3,0,0
"794",-5,0,-1,3,-1,-1
"795",-4,1,0,3,-1,-1
"796",5,1,-2,3,1,1
"797",-1,-1,1,2,-1,-1
"798",1,1,0,1,1,1
"799",1,-1,-2,3,1,0
"800",2,2,-1,2,0,0
"801",-3,-3,4,2,-7,-7
"802",0,-4,4,1,-16,-16
"803",-1,2,4,1,7,7
"804",3,-2,4,1,-5,-5
"805",-2,4,2,2,3,3
"806",-1,-3,-1,2,1,1
"807",1,1,-3,3,0,0
"808",-3,-1,4,2,-3,-3
"809",3,-1,1,3,0,0
"810",0,-3,-1,3,1,1
"811",5,-3,2,3,0,0
"812",-1,-5,-3,2,7,7
"813",4,-1,3,2,0,0
"814",-2,0,4,2,-1,-1
"815",-3,-2,1,1,-5,-5
"816",1,-5,-1,3,2,2
"817",-5,-3,-3,2,2,2
"818",-4,4,2,2,2,1
"819",-4,-2,-3,1,2,2
"820",4,5,-3,2,-5,-5
"821",4,5,3,1,19,18
"822",-4,2,-3,1,-10,-10
"823",-5,-1,1,-50,-3,-3
"824",1,4,4,1,17,17
"825",3,3,1,3,2,2
"826",4,0,-3,1,4,4
"827",0,0,-3,2,0,0
"828",4,3,-1,1,1,0
"829",0,-1,3,3,-1,0
"830",-1,0,1,3,0,0
"831",0,1,2,2,1,1
"832",0,1,-3,2,-1,-1
"833",-2,-5,2,1,-12,-12
"834",0,4,-3,2,-6,-6
"835",2,-2,2,3,0,0
"836",3,-2,-2,3,2,2
"837",3,3,1,3,2,2
"838",3,-2,-3,3,3,3
"839",-5,1,-3,3,-2,-2
"840",0,2,1,1,2,2
"841",3,-2,-2,2,3,3
"842",5,-4,0,1,5,5
"843",-4,2,3,2,1,1
"845",1,0,1,3,0,0
"846",-3,0,3,3,-1,-1
"847",-5,2,-3,3,-3,-3
"848",3,2,0,1,3,3
"849",4,4,3,2,8,8
"850",-1,-2,3,3,-2,-2
"851",-4,2,-1,2,-3,-2
"852",5,4,-2,3,-1,-1
"853",-5,1,3,1,-2,-2
